"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","license","preparations","geodeticDatum","county","locality","gbifID","catalogNumber","references","elevation","elevationAccuracy","type"
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Draco jareckii",121.991,20.47,"ASIA","Batanes Province",2008,5,27,"gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","ETOH - 1; tissue - 100","WGS84","Municipality of Basco","Barangay San Antonio, Sitio Chadpidan","686674469","313962",NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Draco jareckii",121.96549,20.45334,"ASIA","Batanes Province",2008,5,23,"gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","ETOH - 1; tissue - 100","WGS84","Municipality of Basco","Barangay San Antonio","686677375","313953",NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Draco jareckii",121.971267,20.437033,"ASIA","Batanes Province",2007,2,25,"cdround,gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","tissue - 100; ETOH - 1","WGS84","Municipality of Mahatao","""Ijang"" area, south of Basco town proper","686675226","326175",NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Draco jareckii",121.964467,20.453,"ASIA","Batanes Province",2007,2,22,"cdround,gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","ETOH - 1; tissue - 100","WGS84","Municipality of Basco","Barangay San Antonio, on edge of Basco town proper","686697895","326170",NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Draco jareckii",121.979017,20.45135,"ASIA","Batanes Province",2007,2,23,"cdround,gass84,colmafu","http://creativecommons.org/licenses/by/4.0/legalcode","ETOH - 1; tissue - 100","WGS84","Municipality of Basco","Barangay San Antonio, on edge of Basco town proper, near airport","687000806","326173",NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Draco jareckii",122,21,"ASIA","Cagayan Valley Region",1988,3,11,"colmafu,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","Batanes Province","Luzon Strait, Batan, Sitio Diptan","476500013","R-173408","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-173408",NA,NA,NA
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Draco jareckii",121.917,20.4125,"ASIA","Batan Island Group",1987,4,22,"gass84","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Ethanol","WGS84","Batanes Province","Batan Island, past Mahatao","1320773084","USNM 284384",NA,NA,NA,"PhysicalObject"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Draco jareckii",122.004802,20.463947,"ASIA","Eastern Visayas Region",NA,NA,NA,"colmafu,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","Leyte Province","Basco, Batanes Id.","476498703","R-44142","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-44142",NA,NA,NA
