"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","locality","elevation","elevationAccuracy","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius optatus",108.068865,25.294297,"Guizhou",2021,7,22,"cdround","https://www.inaturalist.org/observations/88106007","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3747157407","88106007",NA,NA,NA,NA,NA
"217b0d4f-c87e-4063-b6c5-78277e40e866","PRESERVED_SPECIMEN","PRESENT","Hebius optatus",105.63333,21.46667,"Province de Vinh Phuc",1997,6,1,"gass84,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","440031708","1997.3305","ASIA","Tam Dao",NA,NA,NA
