"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dibamus bourreti",105.633517,21.455092,"Vinh Phuc",2013,7,10,"","https://www.inaturalist.org/observations/30873025","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2422875633","30873025",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Dibamus bourreti",105.633176,22.404483,"B<U+1EAF>c K<U+1EA1>n",2013,7,18,"","https://www.inaturalist.org/observations/30873296","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2456503522","30873296",NA,NA,NA,NA,NA,NA,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Dibamus bourreti",105.912778,22.628611,"Cao Bang",1998,5,NA,"cdround,gass84,osiic,incomis,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1211750513","36056","ASIA","Whole specimen (ETOH); Tissue","Nguyen Binh","Quang Thanh Village","PhysicalObject",NA,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Dibamus bourreti",105.641389,21.454167,"Vinh Phu",1997,6,NA,"cdround,gass84,osiic,incomis,inmafu",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1211749025","34671","ASIA","Whole specimen (ETOH)",NA,"Tam Dao","PhysicalObject",NA,NA
