"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius craspedogaster",112.164545,33.563949,"Henan",2019,7,15,"cdround","https://www.inaturalist.org/observations/125922331","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873493657","125922331",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius craspedogaster",119.631059,27.987327,"Zhejiang",2017,5,27,"cdround","https://www.inaturalist.org/observations/109735275","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759522180","109735275",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius craspedogaster",113.766258,23.638442,"Guangdong",2012,7,29,"cdround","https://www.inaturalist.org/observations/112807647","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772705586","112807647",NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Hebius craspedogaster",104.567,28.767,"Sichuan",1911,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-46881","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476494838","R-46881","ASIA","whole animal (ethanol)","Suifu,Szechivan,China"
