"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","issues","license","preparations","geodeticDatum","locality","gbifID","type","catalogNumber","day","references"
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Naja naja",105.641389,21.454167,"ASIA","Vinh Phu",1995,5,"cdround,gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH)","WGS84","Tam Dao","1211745629","PhysicalObject","31088",NA,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Naja naja",104.940556,21.739722,"ASIA","Yen Bai",1994,10,"cdround,gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH)","WGS84","Yen Bai vicinity; purchased but collected within 5 km of Yen Bai","1211740599","PhysicalObject","25686",17,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Naja naja",104.9375,21.737222,"ASIA","Yen Bai",1994,10,"cdround,gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH); Tissue","WGS84","Yen Bai vicinity","1211740602","PhysicalObject","25683",15,NA
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Naja naja",105.924444,20.335556,"ASIA","Ninh Binh",1994,11,"cdround,gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH); Tissue","WGS84","10.53 km NW of Ninh Binh","1211740620","PhysicalObject","25687",2,NA
"9cd0014c-b7b1-4ed1-bef7-0225acfa4ef2","PRESERVED_SPECIMEN","PRESENT","Naja naja",113.38333,22.91667,NA,"Guangdong Sheng",1876,NA,"cudc,colmano","http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,"WGS84","Guangdong Sheng","621069182","PhysicalObject","4153",NA,"http://portal.vertnet.org/o/smns/herpetologie?id=4153"
"1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34","PRESERVED_SPECIMEN","PRESENT","Naja naja",113.383331,22.91667,NA,NA,1876,NA,"cdround,colmano,inmafu","http://creativecommons.org/licenses/by/4.0/legalcode",NA,"WGS84",NA,"1830949016",NA,"SMNS-Z-HE-0004153 / 462200 / SMNS-Z-HE-0004153",NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Naja naja",113.264428,23.129231,"ASIA","Guangdong Prov.",NA,NA,"cdround","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Alcohol","WGS84","Guangzhou","543663959","PhysicalObject","74503",NA,NA
