"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","references","license","geodeticDatum","county","locality","gbifID","catalogNumber","preparations","elevation","elevationAccuracy"
"d5fafa95-7de2-48c0-bf10-3480bcca4a2b","PRESERVED_SPECIMEN","PRESENT","Pareas hamptoni",104.0115,20.197,"ASIA","Houaphan",2015,9,23,"osiic,incomis,inmafu","https://collections.naturalsciences.org/herpetology/specimen/86599","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","Xamneua","Ban Saleuy, Phou Luang (=Phou Pan)","1229584543","86599",NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pareas hamptoni",105.64378,21.455545,NA,"Vinh Phuc",2013,5,9,"cdround","https://www.inaturalist.org/observations/17410091","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84",NA,NA,"2465090244","17410091",NA,NA,NA
"d8cd16ba-bb74-4420-821e-083f2bac17c2","PRESERVED_SPECIMEN","PRESENT","Pareas hamptoni",103.639999,22.620001,NA,NA,2012,5,15,"gass84","https://www.ebi.ac.uk/ena/browser/view/MZ712309","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84",NA,NA,"3818467650","ZMMUNAP09088",NA,NA,NA
