"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","license","preparations","geodeticDatum","locality","gbifID","type","catalogNumber"
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Hemidactylus vietnamensis",105.634167,22.4175,"ASIA","Bac Thai",1995,5,20,"cdround,gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH); Tissue","WGS84","Ba Be National Park","1211741611","PhysicalObject","26262"
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Hemidactylus vietnamensis",105.366666,20.31666,"ASIA","Ninh Binh",1994,10,14,"gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH); Tissue","WGS84","Cuc Phuong Reserve","1211740408","PhysicalObject","25504"
