"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","locality","continent","county","preparations","type","elevation","elevationAccuracy"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.985703,22.257067,"Islands",2022,5,17,"cdround","https://www.inaturalist.org/observations/117410273","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3784873921","117410273",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.483344,23.244533,"Guangdong",2022,5,19,"cdround","https://www.inaturalist.org/observations/117818180","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3802631544","117818180",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.446078,23.296861,"Guangdong",2022,5,25,"cdround","https://www.inaturalist.org/observations/119739370","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858567966","119739370",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.220421,23.560621,"Guangdong",2022,6,9,"cdround","https://www.inaturalist.org/observations/121559432","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858526588","121559432",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",107.05445,20.738193,"H<U+1EA3>i Phong",2022,6,28,"cdround","https://www.inaturalist.org/observations/123825539","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3858898501","123825539",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.966475,22.376156,"Islands",2022,6,27,"cdround","https://www.inaturalist.org/observations/123721378","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859047335","123721378",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.22455,22.301203,"Sai Kung",2022,6,12,"cdround","https://www.inaturalist.org/observations/122259293","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3859468134","122259293",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.93649,22.264073,"Islands",2022,6,27,"cdround","https://www.inaturalist.org/observations/123779686","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3859956408","123779686",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.212792,22.276822,"Eastern",2022,6,27,"cdround","https://www.inaturalist.org/observations/123697935","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860054358","123697935",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",121.478361,24.983131,"New Taipei",2022,6,17,"cdround","https://www.inaturalist.org/observations/122159545","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860432949","122159545",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.011427,22.285605,"Sha Tin",2022,7,8,"cdround","https://www.inaturalist.org/observations/125896466","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3873054152","125896466",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.108019,22.383714,"Tsuen Wan",2022,7,11,"cdround","https://www.inaturalist.org/observations/125870987","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873209078","125870987",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",113.885483,22.255606,"Islands",2022,7,12,"cdround","https://www.inaturalist.org/observations/125932599","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873753322","125932599",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",107.009153,20.807112,"H<U+1EA3>i Phong",2022,7,21,"cdround","https://www.inaturalist.org/observations/128009932","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873827642","128009932",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.143262,22.369336,"Kwai Tsing",2022,7,24,"cdround","https://www.inaturalist.org/observations/127654314","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3873933469","127654314",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",121.279213,24.801395,"Taipei",2022,7,2,"cdround","https://www.inaturalist.org/observations/125713844","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3874089879","125713844",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Psammodynastes pulverulentus",114.161026,22.35079,"Tsuen Wan",2022,7,27,"cdround","https://www.inaturalist.org/observations/128257049","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3881346818","128257049",NA,NA,NA,NA,NA,NA,NA
