"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","continent","preparations","county","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Hebius johannis",102.451565,25.124302,"Yunnan",2021,4,6,"cdround","https://www.inaturalist.org/observations/101869968","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3743049392","101869968",NA,NA,NA,NA,NA,NA,NA
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Hebius johannis",102.42,29.13,"Sichuan",1989,8,10,"gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1318186375","USNM 292038",2200,0,"ASIA","Ethanol","Shimian","Shimian, ca. 17 km SSE of, along Dahonggou Creek in forest reserve","PhysicalObject"
