"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","issues","references","license","geodeticDatum","locality","gbifID","type","catalogNumber"
"9cd0014c-b7b1-4ed1-bef7-0225acfa4ef2","PRESERVED_SPECIMEN","PRESENT","Hemidactylus flaviviridis",113.38333,22.91667,"Guangdong Sheng",1876,"cudc,colmano","http://portal.vertnet.org/o/smns/herpetologie?id=46","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Guangdong Sheng , Sudchina","621065117","PhysicalObject","46"
"1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34","PRESERVED_SPECIMEN","PRESENT","Hemidactylus flaviviridis",113.383331,22.91667,NA,1876,"cdround,colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84",NA,"1830946865",NA,"SMNS-Z-HE-0000046 / 471966 / SMNS-Z-HE-0000046"
