"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",103.825833,51.7325,"Irkutsk",2018,7,24,"cdround","https://www.inaturalist.org/observations/16678104","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1913702240","16678104",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",108.711358,45.644847,"Dornogovi",2018,8,24,"cdround","https://www.inaturalist.org/observations/15870800","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1932304186","15870800",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",107.235695,43.188632,"Omnogovi",2018,8,27,"cdround","https://www.inaturalist.org/observations/18024249","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1933596768","18024249",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",108.233153,45.246873,"Dundgovi",2018,8,27,"cdround","https://www.inaturalist.org/observations/110947472","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759357468","110947472",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",112.344722,49.411667,"Dornod",2017,6,14,"cdround","https://www.inaturalist.org/observations/6884428","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1993779917","6884428",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",104.074173,43.486307,"Omnogovi",2017,7,2,"","https://www.inaturalist.org/observations/7367373","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1586925425","7367373",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",105.898,47.717,"Tov",2017,7,1,"","https://www.inaturalist.org/observations/38226534","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2574200936","38226534",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",110.452395,54.455796,"Buryat",2016,6,9,"cdround","https://www.inaturalist.org/observations/124827280","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860711233","124827280",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",106.912689,47.912594,"Ulaanbaatar",2015,7,9,"cdround","https://www.inaturalist.org/observations/50517284","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2859952406","50517284",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",102.596267,43.892628,"Omnogovi",2014,9,8,"cdround","https://www.inaturalist.org/observations/87098217","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3328125588","87098217",NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Gloydius halys",110.581,43.624,"Dornogovi",2010,6,20,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686688690","331224","ASIA","tissue - 100; ETOH - 1","Dornu Gobi; Ulaan Badrakh Soum, Khar Tsav, 22 km SSE of Ulaan Badrakh",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",104.214293,51.786578,"Irkutsk",2010,9,12,"cdround","https://www.inaturalist.org/observations/33744357","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3456005526","33744357",NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Gloydius halys",104.07814,43.48569,"Omnogovi",2009,6,13,"gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686679570","331044","ASIA","ETOH - 1; tissue - 100","Yolyn Am, Gobi Gurvansaikhan National Park",NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Gloydius halys",102.442333,43.811833,"Omnogovi",2009,6,21,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","687006032","331045","ASIA","ETOH - 1; tissue - 100","Khongoryn Els, Gobi Gurvansaikhan National Park",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",104.074571,43.488804,"Omnogovi",2008,8,10,"","https://www.inaturalist.org/observations/97326079","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384925518","97326079",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",114.840093,50.820355,"Zabaykal'ye",2006,6,23,"cdround","https://www.inaturalist.org/observations/69046067","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3067973492","69046067",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",112.799879,51.105714,"Zabaykal'ye",2006,8,3,"cdround","https://www.inaturalist.org/observations/69045003","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3068071457","69045003",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius halys",119.614822,52.44713,"Zabaykal'ye",2005,7,21,"cdround","https://www.inaturalist.org/observations/98745650","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3399389531","98745650",NA,NA,NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Gloydius halys",130.354711,32.087533,"Kagoshima Pref.",1973,4,22,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543481009","135873","ASIA","Alcohol","Izumi","PhysicalObject"
"6863f850-572a-41f1-aa58-c7b40b4e1a5c","PRESERVED_SPECIMEN","PRESENT","Gloydius halys",107.4,51.9,"Buryatia",1900,1,1,"",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","3440082179","http://id.luomus.fi/KS.MS1497",NA,NA,"Utochkina",NA
"7a25f7aa-03fb-4322-aaeb-66719e1a9527","PRESERVED_SPECIMEN","PRESENT","Gloydius halys",137.999992,35.999996,NA,NA,NA,NA,"cdround,txmathi,colmafu","http://portal.vertnet.org/o/lacm/herps?id=18eb6bcb-e44b-48fd-85d0-b6283fa0e04f","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","657345846","3131",NA,NA,NA,"PhysicalObject"
