"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","references","license","preparations","geodeticDatum","gbifID","catalogNumber","locality","type"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Cuora trifasciata",113.984245,22.253008,"ASIA","Hong Kong",1990,8,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-176312","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476716919","R-176312","Lantau,0.2km S. of Nam Shan",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Cuora trifasciata",114.416242,23.112419,"ASIA","Guangdong Prov.",1941,2,22,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Alcohol","WGS84","543718075","11348","Wei Chau [= Huizhou]","PhysicalObject"
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Cuora trifasciata",116.65,23.36667,"ASIA","Guangdong Province",1936,8,28,"colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:23933","http://creativecommons.org/publicdomain/zero/1.0/legalcode","whole organism","WGS84","1145551619","MVZ:Herp:23933","Kakchiek, Swatow",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Cuora trifasciata",114.15,22.283,"ASIA","Hong Kong",NA,NA,NA,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-1633","http://creativecommons.org/licenses/by-nc/4.0/legalcode","skull-less whole animal (70% ethanol); skull and jaw (dry)","WGS84","476649724","R-1633","Hong Kong",NA
