"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella boettgeri",125.325424,24.804783,"Okinawa",2020,3,19,"cdround","https://www.inaturalist.org/observations/101447976","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415914485","101447976",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella boettgeri",123.766308,24.427445,"Okinawa",2010,11,1,"cdround","https://www.inaturalist.org/observations/37625509","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2597740824","37625509",NA,NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Scincella boettgeri",124.235382,24.476503,NA,1909,5,25,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-15514","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476654092","R-15514","ASIA","whole animal (ethanol)",NA,"Loo Choo Ids,Ishigaki",NA
