"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","preparations","locality","type","continent","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Alligator sinensis",121.923123,31.487966,"Shanghai",2021,9,19,"cdround","https://www.inaturalist.org/observations/95481791","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384771573","95481791",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Alligator sinensis",121.833188,31.524888,"Shanghai",2021,9,19,"cdround","https://www.inaturalist.org/observations/95481799","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384816620","95481799",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Alligator sinensis",121.856283,31.402468,"Shanghai",2017,10,5,"cdround","https://www.inaturalist.org/observations/9015931","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1703232853","9015931",NA,NA,NA,NA,NA
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Alligator sinensis",118.384495,31.534125,"Anhwei",1923,11,25,"conti,colmano,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1987060812","61445","DRY - 1","WUHU [ = WUHO]","PhysicalObject",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Alligator sinensis",117.439,27.193,"Fujian",1922,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-17548","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476492573","R-17548","whole animal (ethanol)","Yangtse River, Wuku",NA,"ASIA",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Alligator sinensis",105,35,NA,1922,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-16704","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476495691","R-16704","whole animal (ethanol)","China,Anwher Prov. Wuhu",NA,"ASIA",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Alligator sinensis",118.432842,31.352772,"Anhui Prov.",1922,1,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543644187","56709","Alcohol","Wuhu","PhysicalObject","ASIA",NA
"64be02e0-0c64-11dd-84d1-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT","Alligator sinensis",118.4862,31.5531,"Anhui",1920,2,2,"gass84,osiic,colmano,inmafu",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","2240166","5156","Skin","Dangtu Xian, Wan Qing Hu Lake","PhysicalObject","ASIA",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Alligator sinensis",120.113,31.263,"Zhejiang",NA,NA,NA,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-42982","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476705835","R-42982","whole animal (dry)","Tai Hu (Great Lake) S of Soochow",NA,"ASIA",NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Alligator sinensis",121.141389,31.786667,NA,NA,NA,NA,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-161014","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476715484","R-161014","skeleton (dry)","China: Lower Yangtse River",NA,"ASIA",NA
