"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","year","issues","license","geodeticDatum","catalogNumber","gbifID","continent","stateProvince","month","day","references","preparations","locality"
"1c5c3e48-7fc0-4d4f-96e6-c4df2c747f34","PRESERVED_SPECIMEN","PRESENT","Shinisaurus crocodilurus",104.783333,36.8667,1993,"cdround,colmano,inmafu","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","SMNS-Z-HE-0009857 / 468154 / SMNS-Z-HE-0009857","1830953751",NA,NA,NA,NA,NA,NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Shinisaurus crocodilurus",109,24,1928,"colmafu,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","R-32405","476686040","ASIA","Guangxi Zhuang",6,20,"http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-32405","skull (dry); whole animal (ethanol)","Kwangsi, Lo-shiang"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Shinisaurus crocodilurus",110.109,24,NA,"colmafu,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","R-158242","476729671","ASIA","Guangxi Zhuang",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-158242","whole animal (ethanol)","China,Kwangsi Prov. Yaoshan Mt. of Mts"
