"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","elevation","elevationAccuracy","continent","stateProvince","year","month","day","issues","license","preparations","geodeticDatum","locality","gbifID","type","catalogNumber"
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Plestiodon liui",119.896678,30.600819,579.12,30.48,"ASIA","Zhejiang Prov.",1927,8,10,"cdround","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Alcohol","WGS84","Moganshan","543654581","PhysicalObject","66063"
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Plestiodon liui",118.796919,32.060256,NA,NA,"ASIA","Jiangsu Prov.",NA,NA,NA,"cdround","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Alcohol","WGS84","Nanjing","543653350","PhysicalObject","64956"
