"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","issues","references","license","preparations","geodeticDatum","gbifID","catalogNumber","locality","stateProvince","type"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Lygosoma quadrupes",105.084078,21.123836,"ASIA","colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-39278","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","476694033","R-39278","Xomgon",NA,NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Lygosoma quadrupes",106.198483,21.267572,"ASIA","cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Alcohol","WGS84","543515527","16694","Phu Lang Thuong","Bac Giang Prov.","PhysicalObject"
