"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","year","month","day","issues","license","geodeticDatum","catalogNumber","locality","gbifID","continent","stateProvince","preparations","county","type"
"fb93fb10-f1ca-11dd-b2d4-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT","Eutropis multicarinata",121.483333,22.083333,2001,1,12,"cdround,cudc,gass84,colmano,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","00003757",", Lanyu.Hungtou.","2625264869",NA,NA,NA,NA,NA
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Eutropis multicarinata",121.547946,22.043207,1988,9,7,"rdativ,colmano,inmafu","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","198981","LAN-YU TRAIL TO TIEN CHI","1987058852","ASIA","n/a","FLUID - 1","TAI-TUNG","PhysicalObject"
"8e479b8f-ac16-4bed-a11a-bc7e27c31663","PRESERVED_SPECIMEN","PRESENT","Eutropis multicarinata",121.547259,22.045753,1988,9,8,"rdativ,colmano,inmafu","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","198982","LAN-YU BY TRANS ISLAND ROAD","1987072488","ASIA","n/a","FLUID - 1","TAI-TUNG","PhysicalObject"
