"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","elevation","elevationAccuracy","county","type","locality","continent","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudoxenodon macrops",102.751394,25.176138,"Yunnan",2021,10,5,"cdround","https://www.inaturalist.org/observations/97228192","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384429430","97228192",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudoxenodon macrops",100.233151,25.611922,"Yunnan",2020,10,5,"cdround","https://www.inaturalist.org/observations/61877364","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2883183217","61877364",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudoxenodon macrops",101.588699,21.626565,"Yunnan",2019,8,18,"","https://www.inaturalist.org/observations/31045002","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2397504391","31045002",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudoxenodon macrops",112.983333,24.934021,"Hunan",2019,8,15,"cdround","https://www.inaturalist.org/observations/31386983","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2397528307","31386983",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudoxenodon macrops",109.990789,25.710286,"Guangxi",2017,7,6,"cdround","https://www.inaturalist.org/observations/9536268","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1806335530","9536268",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudoxenodon macrops",102.429372,30.18495,"Sichuan",2016,8,21,"","https://www.inaturalist.org/observations/39658365","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2626174599","39658365",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudoxenodon macrops",101.422238,25.002834,"Yunnan",2015,7,16,"","https://www.inaturalist.org/observations/100946860","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415626905","100946860",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Pseudoxenodon macrops",105.639563,21.4581,"Vinh Phuc",2013,7,11,"","https://www.inaturalist.org/observations/30862315","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2447835824","30862315",NA,NA,NA,NA,NA,NA,NA
"7a25f7aa-03fb-4322-aaeb-66719e1a9527","PRESERVED_SPECIMEN","PRESENT","Pseudoxenodon macrops",104.533333,21.766667,"Yen Bai Province",2001,10,1,"cdround,gass84,colmafu","http://portal.vertnet.org/o/lacm/herps?id=48a14a45-03ab-4f2c-96b3-1232bdfc4335","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","657519992","177840",399,0,"Van Yen District","PhysicalObject","Na Hau Commune",NA,NA
"217b0d4f-c87e-4063-b6c5-78277e40e866","PRESERVED_SPECIMEN","PRESENT","Pseudoxenodon macrops",105.63333,21.46667,"Province de Vinh Phuc",1996,1,1,"gass84,inmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","440062347","1999.8542",NA,NA,NA,NA,"Tam Dao","ASIA",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Pseudoxenodon macrops",102.567122,27.879767,"Sichuan Prov.",1992,8,3,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543546420","194743",3050,NA,"Liangshan Yizu Auto. Pref.","PhysicalObject","Qiliba (27 53 N, 102 34 E)","ASIA","Alcohol"
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Pseudoxenodon macrops",102.42,29.13,"Sichuan",1989,8,21,"gass84",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1317425326","USNM 292043",2200,0,"Shimian","PhysicalObject","Shimian, ca. 17 km SSE of, along Dahonggou Creek in forest reserve","ASIA","Dry"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Pseudoxenodon macrops",102.25,26.683,"Sichuan",1958,11,23,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-163257","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476717059","R-163257",NA,NA,NA,NA,"China: Sichuan: Hui Li [VERBATIM ELEVATION:2320m]","ASIA","whole animal (ethanol)"
"09c4287e-e6d5-4552-a07f-bff8a00833d8","PRESERVED_SPECIMEN","PRESENT","Pseudoxenodon macrops",121.049270142869,23.829795703459,"Nantou",1934,5,1,"cdrep,cdround,colmafu,inmafu,fpwktinv","http://arctos.database.museum/guid/MVZ:Herp:23746","http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","1145549551","MVZ:Herp:23746",300,0,NA,NA,"Wu-chieh, near Pu-li","ASIA","whole organism"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Pseudoxenodon macrops",103.845615,22.339578,NA,1931,8,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-43043","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476699597","R-43043",NA,NA,NA,NA,"Chapa: Tongking: Indo China","ASIA","whole animal (ethanol)"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Pseudoxenodon macrops",118,27.7,"Fujian",1926,4,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-53936","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476668563","R-53936",NA,NA,NA,NA,"Ch'unganhsisu","ASIA","whole animal (ethanol)"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Pseudoxenodon macrops",102.718,25.039,"Yunnan",1921,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-14672","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476660688","R-14672",NA,NA,NA,NA,"China,Yunnau-fu","ASIA","whole animal (ethanol)"
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Pseudoxenodon macrops",102.5,30.5,"Sichuan",1907,1,1,"colmafu,inmafu","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-7960","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","476491949","R-7960",NA,NA,NA,NA,"Lao-eue-ling-gung: Western Szechwan: China","ASIA","whole animal (ethanol)"
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Pseudoxenodon macrops",102.715511,25.036428,"Yunnan Prov.",NA,NA,NA,"cdround",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","WGS84","543624230","38748",NA,NA,NA,"PhysicalObject",NA,"ASIA","Alcohol"
