"datasetKey","basisOfRecord","occurrenceStatus","species","infraspecificEpithet","decimalLongitude","decimalLatitude","year","month","day","issues","license","geodeticDatum","catalogNumber","locality","gbifID"
"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","HUMAN_OBSERVATION","PRESENT","Phrynocephalus guttatus guttatus","guttatus",104.518433,47.808544,2001,8,11,"cdround,gass84","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","231210158","Bayannuur - Umgebung","922918421"
"6ac3f774-d9fb-4796-b3e9-92bf6c81c084","HUMAN_OBSERVATION","PRESENT","Phrynocephalus guttatus guttatus","guttatus",104.309692,43.655949,1983,5,29,"cdround,gass84","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","-1720682418","Gobi-Camp bei Dalandzsadgad","922811855"
