"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","continent","stateProvince","year","month","day","issues","license","preparations","geodeticDatum","locality","gbifID","type","catalogNumber","references","county"
"cd875b5a-b3fe-48f2-94c7-371cab1431f3","PRESERVED_SPECIMEN","PRESENT","Diploderma splendidum",102.7,25.06666,"ASIA","Yunnan",2004,9,2,"gass84,osiic,incomis,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","Whole specimen (ETOH); Tissue","WGS84","Kunming, purchased in market","1211767865","PhysicalObject","42586",NA,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Diploderma splendidum",105.7639,32.995,"ASIA","Sichuan",1994,7,18,"colmafu,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84","People's Republic of China,Gansa Kang Co Yang Ba","476496500",NA,"R-179452","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-179452",NA
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Diploderma splendidum",102.387636,29.250858,"ASIA","Sichuan Prov.",1992,7,30,"cdround","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Alcohol","WGS84","4.3 km NNE of Caluo (Chaluo) [29 12 N, 102 21 E], on the Hanyuan to Xichang rd","543546123","PhysicalObject","194476",NA,"Ya'an Pref."
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Diploderma splendidum",102.5,30.5,"ASIA","Sichuan",1921,1,1,"colmafu,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol); whole animal (miscellaneous)","WGS84","Wanhsien: Szechwan","476659280",NA,"R-20700","http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-20700",NA
