"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","elevation","continent","stateProvince","year","month","day","issues","license","preparations","geodeticDatum","county","locality","gbifID","type","catalogNumber","elevationAccuracy","references"
"cece4fc2-1fec-4bb5-a335-7252548e3f0b","PRESERVED_SPECIMEN","PRESENT","Scincella potanini",102.567122,27.879767,3050,"ASIA","Sichuan Prov.",1992,8,2,"cdround","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Alcohol","WGS84","Liangshan Yizu Auto. Pref.","Qiliba (27 53 N, 102 34 E)","543546319","PhysicalObject","194652",NA,NA
"821cc27a-e3bb-4bc5-ac34-89ada245069d","PRESERVED_SPECIMEN","PRESENT","Scincella potanini",102.42,29.13,2200,"ASIA","Sichuan",1989,8,12,"gass84","http://creativecommons.org/publicdomain/zero/1.0/legalcode","Ethanol","WGS84","Shimian","Shimian, ca. 17 km SSE of, along Dahonggou Creek in forest reserve","1318996038","PhysicalObject","USNM 292034",0,NA
"4bfac3ea-8763-4f4b-a71a-76a6f5f243d3","PRESERVED_SPECIMEN","PRESENT","Scincella potanini",105,35,NA,"ASIA",NA,1911,1,1,"colmafu,inmafu","http://creativecommons.org/licenses/by-nc/4.0/legalcode","whole animal (ethanol)","WGS84",NA,"Titas,Kansu,China","476797225",NA,"R-46959",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-46959"
