"","species","long","lat","pa"
"1","G.ussuriensis",127.661889,37.935722,1
"2","G.ussuriensis",127.653333,37.646056,1
"3","G.ussuriensis",127.813139,37.980556,1
"4","G.ussuriensis",129.235281,37.199747,1
"5","G.ussuriensis",129.347497,37.241531,1
"6","G.ussuriensis",128.96725,37.322739,1
"7","G.ussuriensis",127.288028,37.690528,1
"8","G.ussuriensis",127.513722,37.841306,1
"9","G.ussuriensis",127.446283,37.139014,1
"10","G.ussuriensis",127.296972,37.315722,1
"11","G.ussuriensis",127.601756,37.176908,1
"12","G.ussuriensis",128.473928,35.562867,1
"13","G.ussuriensis",128.018722,35.805444,1
"14","G.ussuriensis",128.452886,35.443825,1
"15","G.ussuriensis",128.78425,35.3092,1
"16","G.ussuriensis",128.710028,35.025333,1
"17","G.ussuriensis",128.969944,35.286278,1
"18","G.ussuriensis",129.432444,35.731033,1
"19","G.ussuriensis",128.364736,35.740334,1
"20","G.ussuriensis",129.389722,36.9325,1
"21","G.ussuriensis",128.658725,35.614042,1
"22","G.ussuriensis",128.157833,35.869833,1
"23","G.ussuriensis",128.863175,35.742619,1
"24","G.ussuriensis",128.457306,35.838306,1
"25","G.ussuriensis",129.19585,36.178303,1
"26","G.ussuriensis",128.767472,36.019506,1
"27","G.ussuriensis",129.377733,36.212758,1
"28","G.ussuriensis",128.317267,36.107594,1
"29","G.ussuriensis",128.603497,36.244783,1
"30","G.ussuriensis",129.455706,35.805592,1
"31","G.ussuriensis",126.756278,35.195278,1
"32","G.ussuriensis",128.755861,35.865528,1
"33","G.ussuriensis",129.315847,35.650775,1
"34","G.ussuriensis",129.122222,35.658333,1
"35","G.ussuriensis",125.981056,34.700972,1
"36","G.ussuriensis",127.707937,34.810032,1
"37","G.ussuriensis",127.191117,34.706931,1
"38","G.ussuriensis",126.805806,34.595889,1
"39","G.ussuriensis",126.966306,34.675236,1
"40","G.ussuriensis",127.209269,34.789761,1
"41","G.ussuriensis",127.253019,34.607364,1
"42","G.ussuriensis",126.898639,34.974,1
"43","G.ussuriensis",126.170125,34.399433,1
"44","G.ussuriensis",126.302017,34.529769,1
"45","G.ussuriensis",127.164,35.991611,1
"46","G.ussuriensis",126.767975,36.015403,1
"47","G.ussuriensis",127.52425,35.8935,1
"48","G.ussuriensis",126.677447,33.469992,1
"49","G.ussuriensis",126.882528,36.585306,1
"50","G.ussuriensis",126.450889,36.760944,1
"51","G.ussuriensis",126.258183,36.773844,1
"52","G.ussuriensis",126.520314,37.0533,1
"53","G.ussuriensis",127.360565,36.165566,1
"54","G.ussuriensis",127.076297,36.184261,1
"55","G.ussuriensis",127.400426,36.027592,1
"56","G.ussuriensis",127.184761,36.264853,1
"57","G.ussuriensis",127.65926,36.68903,1
"58","G.ussuriensis",128.235725,37.187225,1
"59","G.ussuriensis",127.398947,36.700783,1
"60","G.ussuriensis",131.659378,43.919133,1
"61","G.ussuriensis",125.419111,34.677059,1
"62","G.ussuriensis",126.461101,36.605988,1
"63","G.ussuriensis",119.023869,47.497838,1
"64","G.ussuriensis",127.00813,42.589417,1
"65","G.ussuriensis",132.253522,43.623769,1
"66","G.ussuriensis",131.732233,42.955422,1
"67","G.ussuriensis",130.662078,42.430961,1
"68","G.ussuriensis",126.491691,33.468418,1
"69","G.ussuriensis",126.180859,33.31973,1
"70","G.ussuriensis",131.170747,42.658683,1
"71","G.ussuriensis",132.765152,43.106098,1
"72","G.ussuriensis",124.328597,41.628665,1
"73","G.ussuriensis",126.368576,41.79903,1
"74","G.ussuriensis",126.895685,33.511644,1
"75","G.ussuriensis",132.068093,43.237516,1
"76","G.ussuriensis",131.498688,43.163708,1
"77","G.ussuriensis",128.084167,36.824444,1
"78","G.ussuriensis",129.141944,36.921667,1
"79","G.ussuriensis",133.665701,43.305335,1
"80","G.ussuriensis",131.246675,42.838027,1
"81","G.ussuriensis",127.206768,36.791035,1
"82","G.ussuriensis",134.664444,46.565278,1
"83","G.ussuriensis",127.264722,36.344444,1
"84","G.ussuriensis",126.644657,36.663548,1
"85","G.ussuriensis",132.099062,43.466024,1
"86","G.ussuriensis",131.63741,43.748473,1
"87","G.ussuriensis",128.207943,37.350484,1
"88","G.ussuriensis",130.568838,49.178255,1
"89","G.ussuriensis",126.263278,33.210694,1
"90","G.ussuriensis",127.760167,36.933833,1
"91","G.ussuriensis",127.91145,36.804311,1
"92","G.ussuriensis",127.271467,36.934592,1
"93","G.ussuriensis",127.651556,36.888528,1
"94","G.ussuriensis",127.822972,36.996667,1
"95","G.ussuriensis",126.307278,33.356611,1
"96","G.ussuriensis",126.634944,33.266722,1
"97","G.ussuriensis",128.243233,36.721492,1
"98","G.ussuriensis",127.315122,35.448342,1
"99","G.ussuriensis",128.392203,37.789289,1
"100","G.ussuriensis",126.641861,35.553925,1
"101","G.ussuriensis",127.925306,37.828083,1
"102","G.ussuriensis",127.306786,35.685761,1
"103","G.ussuriensis",126.799447,35.684758,1
"104","G.ussuriensis",128.14875,38.093194,1
"105","G.ussuriensis",128.30425,37.939417,1
"106","G.ussuriensis",128.042892,36.653481,1
"107","G.ussuriensis",127.185392,35.645289,1
"108","G.ussuriensis",128.018,37.033194,1
"109","G.ussuriensis",128.622072,34.813927,1
"110","G.ussuriensis",126.056508,34.537242,1
"111","G.ussuriensis",127.771621,35.969016,1
"112","G.ussuriensis",128.195833,35.992778,1
"113","G.ussuriensis",128.639506,37.220606,1
"114","G.ussuriensis",126.966385,36.688997,1
"115","G.ussuriensis",126.641633,34.442878,1
"116","G.ussuriensis",128.500903,37.038575,1
"117","G.ussuriensis",128.956728,35.887044,1
"118","G.ussuriensis",127.827539,37.150144,1
"119","G.ussuriensis",127.806444,36.183389,1
"120","G.ussuriensis",128.282472,36.245667,1
"121","G.ussuriensis",127.121308,34.55465,1
"122","G.ussuriensis",127.150908,34.452222,1
"123","G.ussuriensis",126.928794,34.469233,1
"124","G.ussuriensis",126.42875,33.408194,1
"125","G.ussuriensis",127.254936,34.229894,1
"126","G.ussuriensis",126.756442,34.300708,1
"127","G.ussuriensis",126.990508,34.328897,1
"128","G.ussuriensis",126.815556,33.315,1
"129","G.ussuriensis",128.915669,37.479261,1
"130","G.ussuriensis",126.632222,35.928889,1
"131","G.ussuriensis",129.093172,37.369661,1
"132","G.ussuriensis",126.128197,36.720036,1
"133","G.ussuriensis",128.712353,37.376467,1
"134","G.ussuriensis",127.268172,37.058419,1
"135","G.ussuriensis",127.135847,37.228814,1
"136","G.ussuriensis",128.538981,36.101894,1
"137","G.ussuriensis",128.590714,37.327772,1
"138","G.ussuriensis",126.6275,35.79,1
"139","G.ussuriensis",128.695669,36.130389,1
"140","G.ussuriensis",128.698528,37.563917,1
"141","G.ussuriensis",128.547472,37.532611,1
"142","G.ussuriensis",129.389194,36.408278,1
"143","G.ussuriensis",127.785697,37.451322,1
"144","G.ussuriensis",127.76205,34.613811,1
"145","G.ussuriensis",128.596667,37.677361,1
"146","G.ussuriensis",127.176733,37.473122,1
"147","G.ussuriensis",127.887064,34.907817,1
"148","G.ussuriensis",127.6847,37.407911,1
"149","G.ussuriensis",126.755383,36.228458,1
"150","G.ussuriensis",128.937907,36.471578,1
"151","G.ussuriensis",127.650436,34.940989,1
"152","G.ussuriensis",126.551178,36.036272,1
"153","G.ussuriensis",129.065556,37.553333,1
"154","G.ussuriensis",126.561647,36.156597,1
"155","G.ussuriensis",129.048117,37.673089,1
"156","G.ussuriensis",127.6005,36.140528,1
"157","G.ussuriensis",128.529378,36.486593,1
"158","G.ussuriensis",127.995969,37.288561,1
"159","G.ussuriensis",128.643336,34.934014,1
"160","G.ussuriensis",128.197222,34.7,1
"161","G.ussuriensis",129.119444,36.304167,1
"162","G.ussuriensis",128.352172,35.105728,1
"163","G.ussuriensis",127.548364,34.600064,1
"164","G.ussuriensis",127.768906,37.276817,1
"165","G.ussuriensis",127.633653,34.722247,1
"166","G.ussuriensis",126.727889,36.433917,1
"167","G.ussuriensis",127.015278,36.449167,1
"168","G.ussuriensis",127.527778,37.581667,1
"169","G.ussuriensis",127.660472,36.305806,1
"170","G.ussuriensis",127.889964,35.023289,1
"171","G.ussuriensis",127.521445,35.095306,1
"172","G.ussuriensis",126.870722,37.013097,1
"173","G.ussuriensis",128.07327,36.422811,1
"174","G.ussuriensis",127.200278,36.469167,1
"175","G.ussuriensis",126.718292,37.217678,1
"176","G.ussuriensis",127.788361,36.355472,1
"177","G.ussuriensis",126.468,34.939753,1
"178","G.ussuriensis",127.734608,35.191842,1
"179","G.ussuriensis",127.912136,36.388008,1
"180","G.ussuriensis",126.984806,37.433917,1
"181","G.ussuriensis",128.336639,37.669972,1
"182","G.ussuriensis",126.833417,34.901194,1
"183","G.ussuriensis",127.682858,35.102928,1
"184","G.ussuriensis",127.053111,35.188556,1
"185","G.ussuriensis",126.973639,36.304528,1
"186","G.ussuriensis",128.008528,36.281417,1
"187","G.ussuriensis",126.66375,37.460194,1
"188","G.ussuriensis",126.476389,35.046778,1
"189","G.ussuriensis",126.084639,36.229028,1
"190","G.ussuriensis",126.970047,37.114414,1
"191","G.ussuriensis",126.350111,36.339389,1
"192","G.ussuriensis",126.712873,37.907813,1
"193","G.ussuriensis",128.412954,38.476395,1
"194","G.ussuriensis",126.869305,38.021615,1
"195","G.ussuriensis",129.214308,35.281931,1
"196","G.ussuriensis",128.173521,35.266075,1
"197","G.ussuriensis",128.520036,38.226114,1
"198","G.ussuriensis",127.40691,35.30489,1
"199","G.ussuriensis",127.810445,38.286528,1
"200","G.ussuriensis",127.350305,38.126681,1
"201","G.ussuriensis",129.413064,35.497816,1
"202","G.ussuriensis",129.088599,35.056095,1
"203","G.ussuriensis",129.093209,35.160194,1
"204","G.ussuriensis",127.342809,38.30446,1
"205","G.ussuriensis",127.073218,38.247495,1
"206","G.ussuriensis",127.411732,36.527474,1
"207","G.ussuriensis",127.025806,38.176365,1
"208","G.ussuriensis",127.722799,35.283588,1
"209","G.ussuriensis",129.260947,36.684493,1
"210","G.ussuriensis",129.38321,36.567805,1
"211","G.ussuriensis",128.157966,35.363769,1
"212","G.ussuriensis",128.320301,35.400134,1
"213","G.ussuriensis",127.638823,36.518476,1
"214","G.ussuriensis",126.308346,37.68697,1
"215","G.ussuriensis",126.88027,37.57635,1
"216","G.ussuriensis",128.270651,36.95593,1
"217","G.ussuriensis",124.684728,37.971156,1
"218","G.ussuriensis",128.769107,36.917744,1
"219","G.ussuriensis",126.682168,35.349448,1
"220","G.ussuriensis",128.671956,36.827767,1
"221","G.ussuriensis",127.258183,37.540401,1
"222","G.ussuriensis",128.971146,36.817201,1
"223","G.ussuriensis",126.614975,35.470672,1
"224","G.ussuriensis",126.871029,35.327112,1
"225","G.ussuriensis",126.570158,37.645562,1
"226","G.ussuriensis",126.591822,37.731386,1
"227","G.ussuriensis",126.716514,36.76061,1
"228","G.ussuriensis",126.611477,35.702341,1
"229","G.ussuriensis",127.406758,36.807886,1
"230","G.ussuriensis",127.755904,35.697181,1
"231","G.ussuriensis",126.866261,35.505531,1
"232","G.ussuriensis",127.143568,37.951624,1
"233","G.ussuriensis",126.402207,36.949919,1
"234","G.ussuriensis",126.943734,37.778049,1
"235","G.ussuriensis",126.477674,36.843793,1
"236","G.ussuriensis",127.677245,35.553669,1
"237","G.ussuriensis",127.905892,35.558309,1
"238","G.ussuriensis",126.981712,36.883375,1
"239","G.ussuriensis",127.526494,34.439564,1
"240","G.ussuriensis",127.773487,34.515376,1
"241","G.ussuriensis",129.346665,35.925251,1
"242","G.ussuriensis",128.225327,36.521341,1
"243","G.ussuriensis",127.457854,35.822597,1
"244","G.ussuriensis",126.967326,35.727657,1
"245","G.ussuriensis",129.485035,35.977779,1
"246","G.ussuriensis",127.072962,35.848048,1
"247","G.ussuriensis",128.20406,37.102504,1
"248","G.ussuriensis",128.561307,35.152257,1
"249","G.ussuriensis",128.505256,35.959548,1
"250","G.ussuriensis",127.765596,37.733311,1
"251","G.ussuriensis",128.547717,37.987927,1
"252","G.ussuriensis",126.592332,34.586546,1
"253","G.ussuriensis",128.817393,35.125597,1
"254","G.ussuriensis",129.062821,37.120175,1
"255","G.ussuriensis",128.939882,35.508223,1
"256","G.ussuriensis",129.067677,36.046694,1
"257","G.ussuriensis",129.063338,35.589723,1
"258","G.ussuriensis",127.039589,35.007358,1
"259","G.ussuriensis",127.234231,34.86739,1
"260","G.ussuriensis",128.564177,35.334903,1
"261","G.ussuriensis",126.541957,34.141334,1
"262","G.ussuriensis",128.024663,37.98331,1
"263","G.ussuriensis",126.592955,34.222208,1
"264","G.ussuriensis",126.719813,34.844163,1
"265","G.ussuriensis",128.082272,37.859873,1
"266","G.ussuriensis",128.452877,38.359779,1
"267","G.ussuriensis",128.373428,38.161486,1
"268","G.ussuriensis",127.986223,34.75059,1
"269","G.ussuriensis",129.312682,35.454107,1
"270","G.ussuriensis",127.814269,35.397128,1
"271","G.ussuriensis",126.35383,34.644143,1
"272","G.ussuriensis",129.279397,36.787468,1
"273","G.ussuriensis",126.894214,37.344639,1
"274","G.ussuriensis",126.907769,37.220276,1
"275","G.ussuriensis",126.981232,37.653491,1
"276","G.ussuriensis",129.391169,36.851362,1
"277","G.ussuriensis",126.905077,36.114876,1
"278","G.ussuriensis",128.453758,37.206735,1
"279","G.ussuriensis",127.351004,35.212645,1
"280","G.ussuriensis",126.963731,35.373948,1
"281","G.ussuriensis",126.986919,35.538817,1
"282","G.ussuriensis",126.782273,36.308096,1
