Variable,PC1,PC2
lnTOL,0.218565195,-0.519548001
lnHW,-0.09930568,-0.540266772
lnHH,-0.247688146,-0.365611469
lnED,-0.103990402,-0.496111358
lnHLTOL,-0.412709337,0.130592451
lnHWTOL,-0.418857991,-0.146615142
lnHHTOL,-0.403230977,0.114586048
lnEDTOL,-0.410726454,0.077359862
lnIODTOL,-0.439478966,0.026806083
