,Variable,Percent_contribution,Permutation_importance
2,bio1,18.12333,16.04991
1,bio12,25.76174,18.45439
9,bio13,4.40472,12.07287
5,bio15,9.28796,24.65627
7,bio2,5.86703,13.20133
6,bio3,8.62004,2.09318
3,bio8,11.37817,1.96905
8,forest,5.23664,7.10563
4,slope,11.3204,4.3974
