"","Variable","Percent_contribution","Permutation_importance"
"1","bio3",80.90867,30.27363
"2","bio15",18.30948,30.89306
"3","bio1",0.3739,12.52769
"4","bio13",0.16792,1.20859
"5","bio12",0.08509,10.50975
"6","forest",0.04107,4.32457
"7","bio2",0.03942,2.34219
"8","bio8",0.0374,1.92348
"9","slope",0.03705,5.99704
