"","Variable","Percent_contribution","Permutation_importance"
"1","bio15",37.3323,29.66471
"2","bio3",28.08958,17.38806
"3","slope",15.56365,11.73425
"4","bio2",6.52802,7.5254
"5","forest",5.92501,6.70847
"6","bio8",3.36711,13.32012
"7","bio13",1.55492,0.10096
"8","bio1",0.85661,9.71411
"9","bio12",0.78278,3.84394
